表5-1  畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
97,0008,國立中央大學,,,TOTAL,全校班級,3105,2121,984,2088,957,25,19,8,8
97,0008,國立中央大學,D,B,SUBT1,學士班           共計,1245,800,445,778,428,22,17,0,0
97,0008,國立中央大學,D,B,220201,中國文學系,47,8,39,7,39,1,0,0,0
97,0008,國立中央大學,D,B,220310,英美語文學系,46,6,40,6,39,0,1,0,0
97,0008,國立中央大學,D,B,220314,法國語文學系,43,7,36,7,34,0,2,0,0
97,0008,國立中央大學,D,B,460101,數學系,54,44,10,44,10,0,0,0,0
97,0008,國立中央大學,D,B,440301,物理學系,52,46,6,46,6,0,0,0,0
97,0008,國立中央大學,D,B,440101,化學學系,40,28,12,28,12,0,0,0,0
97,0008,國立中央大學,D,B,420103,生命科學系,34,19,15,18,13,1,2,0,0
97,0008,國立中央大學,D,B,520301,土木工程學系,96,75,21,68,21,7,0,0,0
97,0008,國立中央大學,D,B,520201,機械工程學系,113,102,11,101,11,1,0,0,0
97,0008,國立中央大學,D,B,520403,化學工程與材料工程學系,49,32,17,30,16,2,1,0,0
97,0008,國立中央大學,D,B,340301,企業管理學系,102,35,67,35,66,0,1,0,0
97,0008,國立中央大學,D,B,480109,資訊管理學系,103,67,36,64,35,3,1,0,0
97,0008,國立中央大學,D,B,340501,財務金融學系,59,25,34,24,31,1,3,0,0
97,0008,國立中央大學,D,B,310101,經濟學系,67,25,42,23,38,2,4,0,0
97,0008,國立中央大學,D,B,520101,電機工程學系,109,94,15,92,15,2,0,0,0
97,0008,國立中央大學,D,B,520114,資訊工程學系,99,86,13,85,12,1,1,0,0
97,0008,國立中央大學,D,B,520126,通訊工程學系,50,39,11,39,10,0,1,0,0
97,0008,國立中央大學,D,B,440401,大氣科學學系,48,41,7,40,7,1,0,0,0
97,0008,國立中央大學,D,B,440201,地球科學學系,34,21,13,21,13,0,0,0,0
97,0008,國立中央大學,D,M,SUBT2,碩士班           共計,1259,888,371,881,365,2,2,5,4
97,0008,國立中央大學,D,M,220201,中國文學系碩士班,18,4,14,4,14,0,0,0,0
97,0008,國立中央大學,D,M,220310,英美語文學系碩士班,7,3,4,3,4,0,0,0,0
97,0008,國立中央大學,D,M,220314,法國語文學系碩士班,3,2,1,2,1,0,0,0,0
97,0008,國立中央大學,D,M,221101,哲學研究所碩士班,12,4,8,4,6,0,1,0,1
97,0008,國立中央大學,D,M,220901,歷史研究所碩士班,9,4,5,4,5,0,0,0,0
97,0008,國立中央大學,D,M,210701,藝術學研究所碩士班,6,0,6,0,6,0,0,0,0
97,0008,國立中央大學,D,M,140111,學習與教學研究所碩士班,4,1,3,1,3,0,0,0,0
97,0008,國立中央大學,D,M,460101,數學系碩士班,28,18,10,18,10,0,0,0,0
97,0008,國立中央大學,D,M,440301,物理學系碩士班,29,25,4,25,4,0,0,0,0
97,0008,國立中央大學,D,M,440101,化學學系碩士班,57,39,18,39,18,0,0,0,0
97,0008,國立中央大學,D,M,420103,生命科學系碩士班,14,4,10,4,9,0,1,0,0
97,0008,國立中央大學,D,M,460201,統計研究所碩士班,28,17,11,17,11,0,0,0,0
97,0008,國立中央大學,D,M,520106,光電科學與工程學系碩士班,50,42,8,42,8,0,0,0,0
97,0008,國立中央大學,D,M,310510,認知與神經科學研究所碩士班,7,3,4,3,4,0,0,0,0
97,0008,國立中央大學,D,M,440601,天文研究所碩士班,10,6,4,6,4,0,0,0,0
97,0008,國立中央大學,D,M,440304,生物物理研究所碩士班,4,4,0,4,0,0,0,0,0
97,0008,國立中央大學,D,M,420611,生物資訊與系統生物研究所碩士班,10,2,8,2,8,0,0,0,0
97,0008,國立中央大學,D,M,520301,土木工程學系碩士班,86,60,26,60,25,0,0,0,1
97,0008,國立中央大學,D,M,520201,機械工程學系碩士班,88,81,7,81,7,0,0,0,0
97,0008,國立中央大學,D,M,520403,化學工程與材料工程學系碩士班,52,39,13,39,12,0,0,0,1
97,0008,國立中央大學,D,M,349927,營建管理研究所碩士班,15,13,2,13,2,0,0,0,0
97,0008,國立中央大學,D,M,520901,環境工程研究所碩士班,29,16,13,16,13,0,0,0,0
97,0008,國立中央大學,D,M,520229,光機電工程研究所碩士班,15,15,0,15,0,0,0,0,0
97,0008,國立中央大學,D,M,521309,能源工程研究所碩士班,12,12,0,12,0,0,0,0,0
97,0008,國立中央大學,D,M,520502,材料科學與工程研究所碩士班,18,15,3,15,3,0,0,0,0
97,0008,國立中央大學,D,M,521108,生物醫學工程研究所碩士班,5,5,0,5,0,0,0,0,0
97,0008,國立中央大學,D,M,340301,企業管理學系碩士班,53,27,26,27,26,0,0,0,0
97,0008,國立中央大學,D,M,480109,資訊管理學系碩士班,57,41,16,37,15,2,0,2,1
97,0008,國立中央大學,D,M,310104,產業經濟研究所碩士班,25,13,12,13,12,0,0,0,0
97,0008,國立中央大學,D,M,349906,工業管理研究所碩士班,30,17,13,17,13,0,0,0,0
97,0008,國立中央大學,D,M,349919,人力資源管理研究所碩士班,28,4,24,4,24,0,0,0,0
97,0008,國立中央大學,D,M,340501,財務金融學系碩士班,36,27,9,27,9,0,0,0,0
97,0008,國立中央大學,D,M,310101,經濟學系碩士班,16,8,8,8,8,0,0,0,0
97,0008,國立中央大學,D,M,520101,電機工程學系碩士班,116,105,11,105,11,0,0,0,0
97,0008,國立中央大學,D,M,520114,資訊工程學系碩士班,98,91,7,91,7,0,0,0,0
97,0008,國立中央大學,D,M,520126,通訊工程學系碩士班,50,38,12,38,12,0,0,0,0
97,0008,國立中央大學,D,M,140805,網路學習科技研究所碩士班,19,12,7,11,7,0,0,1,0
97,0008,國立中央大學,D,M,480306,軟體工程研究所碩士班,5,5,0,5,0,0,0,0,0
97,0008,國立中央大學,D,M,440402,大氣物理研究所碩士班,23,13,10,13,10,0,0,0,0
97,0008,國立中央大學,D,M,440209,地球物理研究所碩士班,19,16,3,15,3,0,0,1,0
97,0008,國立中央大學,D,M,440603,太空科學研究所碩士班,18,15,3,15,3,0,0,0,0
97,0008,國立中央大學,D,M,440204,應用地質研究所碩士班,21,14,7,13,7,0,0,1,0
97,0008,國立中央大學,D,M,440207,水文與海洋科學研究所碩士班,8,6,2,6,2,0,0,0,0
97,0008,國立中央大學,D,M,310723,客家社會文化研究所碩士班,5,1,4,1,4,0,0,0,0
97,0008,國立中央大學,D,M,220103,客家語文研究所碩士班,5,0,5,0,5,0,0,0,0
97,0008,國立中央大學,D,M,310403,客家政治經濟研究所碩士班,9,0,9,0,9,0,0,0,0
97,0008,國立中央大學,D,M,380103,法律與政府研究所碩士班,2,1,1,1,1,0,0,0,0
97,0008,國立中央大學,V,M,SUBT3,碩士在職專班           共計,401,275,126,273,122,0,0,2,4
97,0008,國立中央大學,V,M,220201,中國文學系碩士在職專班,13,0,13,0,13,0,0,0,0
97,0008,國立中央大學,V,M,221101,哲學研究所碩士在職專班,3,2,1,2,1,0,0,0,0
97,0008,國立中央大學,V,M,220901,歷史研究所碩士在職專班,17,6,11,6,11,0,0,0,0
97,0008,國立中央大學,V,M,520106,光電科學與工程學系碩士在職專班,7,6,1,6,1,0,0,0,0
97,0008,國立中央大學,V,M,520301,土木工程學系碩士在職專班,30,27,3,27,3,0,0,0,0
97,0008,國立中央大學,V,M,520201,機械工程學系碩士在職專班,20,19,1,19,1,0,0,0,0
97,0008,國立中央大學,V,M,349927,營建管理研究所碩士在職專班,9,8,1,8,1,0,0,0,0
97,0008,國立中央大學,V,M,520901,環境工程研究所碩士在職專班,23,17,6,17,6,0,0,0,0
97,0008,國立中央大學,V,M,520911,國際永續發展碩士在職專班,6,2,4,0,0,0,0,2,4
97,0008,國立中央大學,V,M,349939,管理學院高階主管企管碩士班,52,45,7,45,7,0,0,0,0
97,0008,國立中央大學,V,M,340301,企業管理學系碩士在職專班,29,20,9,20,9,0,0,0,0
97,0008,國立中央大學,V,M,480109,資訊管理學系碩士在職專班,33,28,5,28,5,0,0,0,0
97,0008,國立中央大學,V,M,310104,產業經濟研究所碩士在職專班,16,8,8,8,8,0,0,0,0
97,0008,國立中央大學,V,M,349906,工業管理研究所碩士在職專班,25,17,8,17,8,0,0,0,0
97,0008,國立中央大學,V,M,349919,人力資源管理研究所碩士在職專班,23,7,16,7,16,0,0,0,0
97,0008,國立中央大學,V,M,340501,財務金融學系碩士在職專班,31,15,16,15,16,0,0,0,0
97,0008,國立中央大學,V,M,520101,電機工程學系碩士在職專班,11,8,3,8,3,0,0,0,0
97,0008,國立中央大學,V,M,520114,資訊工程學系碩士在職專班,13,11,2,11,2,0,0,0,0
97,0008,國立中央大學,V,M,520126,通訊工程學系碩士在職專班,20,20,0,20,0,0,0,0,0
97,0008,國立中央大學,V,M,310403,客家研究碩士在職專班,20,9,11,9,11,0,0,0,0
97,0008,國立中央大學,D,D,SUBT4,博士班           共計,183,142,41,140,41,1,0,1,0
97,0008,國立中央大學,D,D,220201,中國文學系博士班,7,1,6,1,6,0,0,0,0
97,0008,國立中央大學,D,D,221101,哲學研究所博士班,3,1,2,1,2,0,0,0,0
97,0008,國立中央大學,D,D,460101,數學系博士班,2,2,0,2,0,0,0,0,0
97,0008,國立中央大學,D,D,440301,物理學系博士班,7,7,0,7,0,0,0,0,0
97,0008,國立中央大學,D,D,440101,化學學系博士班,5,3,2,3,2,0,0,0,0
97,0008,國立中央大學,D,D,460201,統計研究所博士班,3,3,0,3,0,0,0,0,0
97,0008,國立中央大學,D,D,520106,光電科學與工程學系博士班,7,5,2,5,2,0,0,0,0
97,0008,國立中央大學,D,D,440601,天文研究所博士班,5,4,1,4,1,0,0,0,0
97,0008,國立中央大學,D,D,520301,土木工程學系博士班,15,15,0,15,0,0,0,0,0
97,0008,國立中央大學,D,D,520201,機械工程學系博士班,23,22,1,22,1,0,0,0,0
97,0008,國立中央大學,D,D,520403,化學工程與材料工程學系博士班,14,14,0,14,0,0,0,0,0
97,0008,國立中央大學,D,D,520901,環境工程研究所博士班,4,4,0,4,0,0,0,0,0
97,0008,國立中央大學,D,D,340301,企業管理學系博士班,20,11,9,11,9,0,0,0,0
97,0008,國立中央大學,D,D,480109,資訊管理學系博士班,7,5,2,5,2,0,0,0,0
97,0008,國立中央大學,D,D,310104,產業經濟研究所博士班,8,3,5,2,5,1,0,0,0
97,0008,國立中央大學,D,D,349919,人力資源管理研究所博士班,3,0,3,0,3,0,0,0,0
97,0008,國立中央大學,D,D,340501,財務金融學系博士班,2,0,2,0,2,0,0,0,0
97,0008,國立中央大學,D,D,520101,電機工程學系博士班,18,17,1,17,1,0,0,0,0
97,0008,國立中央大學,D,D,520114,資訊工程學系博士班,9,9,0,8,0,0,0,1,0
97,0008,國立中央大學,D,D,520126,通訊工程學系博士班,2,2,0,2,0,0,0,0,0
97,0008,國立中央大學,D,D,440402,大氣物理研究所博士班,1,0,1,0,1,0,0,0,0
97,0008,國立中央大學,D,D,440209,地球物理研究所博士班,14,11,3,11,3,0,0,0,0
97,0008,國立中央大學,D,D,440603,太空科學研究所博士班,4,3,1,3,1,0,0,0,0
97,0008,國立中央大學,D,M,SUBT5,產業研發碩士專班           共計,17,16,1,16,1,0,0,0,0
97,0008,國立中央大學,D,M,520188,光電科學與工程學系光電產業研發碩士專班,3,3,0,3,0,0,0,0,0
97,0008,國立中央大學,D,M,520188,光電科學與工程學系光電顯示產業研發碩士專班,7,7,0,7,0,0,0,0,0
97,0008,國立中央大學,D,M,520288,機械工程學系機電整合產業研發碩士專班,1,1,0,1,0,0,0,0,0
97,0008,國立中央大學,D,M,520188,資訊工程學系嵌入式系統產業研發碩士專班,2,2,0,2,0,0,0,0,0
97,0008,國立中央大學,D,M,520188,電機工程學系電子產業研發碩士專班,4,3,1,3,1,0,0,0,0
,,,,,,,,,,,,,,,
 承辦人,,,註冊組組長,,,教務長,,,,,,,,,
