99學年度第二學期「學分學程」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,企業管理,財務金融,會計,資訊管理,材料,水土保持,企業資源規劃,光電,軟體工程,地球科學資訊,環境地球科學,藝術史,文化研究,環境生物化學(99一退場),天文,都市環境,財務工程,英文MBA,奈米科技,創意,電子商務(EC),嵌入式系統,華語文教學,RFID物流與供應鏈,世界文明史,電影與視覺文化,太陽光電與氫能,綠色企業管理,性別教育,科技與社會,創意與創業,系(所)總合
中國文學系,,,1,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,9
英美語文學系,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,3
法國語文學系,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
數學系,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
物理學系,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,9
化學學系,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
統計研究所碩士班,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2
土木工程學系,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
機械工程學系光機電工程碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
能源工程研究所碩士班,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3
企業管理學系,,5,12,,,,54,,,,,,,,,,,,,,,,,1,,,,,,,,72
資訊管理學系,,3,1,,,,49,,,,,,,,,,,,,,16,,,,,,,,,,,69
財務金融學系,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
經濟學系,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2
企業管理學系碩士班,,,,,,,13,,,,,,,,,,,3,,,,,,,,,,,,,,16
資訊管理學系碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
工業管理研究所碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
人力資源管理研究所碩士班,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
財務金融學系碩士班,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
會計研究所碩士班,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7
工業管理研究所碩士在職專班,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3
電機工程學系,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
資訊工程學系,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
資訊工程學系碩士班,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,5
大氣科學學系,,,,,,,,,,6,19,,,,3,,,,,1,,,,,,,,,,,,29
地球科學學系,,,,,,,,,,16,9,,,,,,,,,,,,,,,,,,,1,,26
總合,1,9,54,1,,1,131,,3,22,28,9,,1,12,,8,3,,1,16,2,2,1,1,,4,,,1,,311
