1061「第二專長(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
              第二專長      所屬系所,中文,英美文學與文化研究,法語文化與跨文化,藝術史實務,數學,物理,化學,光學,材料與製造工程,能源科技,機械設計,光機電工程,化學工程與材料工程,土木工程,國際金融,初階積體電路設計,固態電子,無線電工程,資訊工程程式設計,通訊工程,社會實踐與發展,公共行政與政策,法律,生物科技,生物多樣性,哲學思考,認知神經科學,系(所)總合
中國文學系,,,,4,,,,,,,,,,,4,,,,3,,,2,13,,,,,26
英美語文學系,,,,1,,,,,,,,,,,1,,,,1,,,,11,,,1,,15
法國語文學系,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2
土木工程學系,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,2
機械工程學系,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
化學工程與材料工程學系,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
數學系,,,,,,,,,,,,,,,1,1,,,7,1,,,,,,,,10
物理學系,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,3
光電科學與工程學系,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2
企業管理學系,,,,,,,,,,,,,,,4,,,,1,,,,1,,,2,,8
資訊管理學系,,,,,,,,,,,,,,,,,,,15,,,,1,,,,,16
財務金融學系,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
經濟學系,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,3
電機工程學系,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
資訊工程學系,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2
通訊工程學系,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
地球科學學系,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,2
客家語文暨社會科學學系,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,3
生命科學系,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,3
生醫科學與工程學系,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,4
總合,3,1,,8,,,,1,,,,,3,,11,2,1,1,37,1,,2,31,1,,5,,108
