日期,分類,標題,連結
2025.12.01,註冊組,國立中央大學114學年度第2學期舊生註冊通知,https://pdc.adm.ncu.edu.tw/postM/post/reg/1141201_1.pdf
2025.11.28,課務組,114(二)課程初選期間：12月5日 09:00 ~ 12月12日 23:59,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5163
2025.11.24,課務組,【填問卷，得時數，抽禮券】114(一)期末教學評量開始填寫囉~11月24日(一)起至12月13日(六)止,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5161
2025.11.24,課務組,114(二)課務日程表及選課相關資訊,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5162
2025.11.18,課務組,大學部輔導選課~導師密碼卡線上化！不再需要紙本密碼卡囉,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5159
2025.11.03,註冊組,長庚大學交換生申請延長至12/12(五)截止,https://pdc.adm.ncu.edu.tw/postM/post/reg/1141103_1.pdf
2025.10.28,註冊組,114 學年度第 1 學期頒發學位證書(畢業離校)相關注意事項,https://pdc.adm.ncu.edu.tw/postM/post/reg/1140827_1.pdf
2025.10.22,註冊組,114學年度第一學期起實施研究生學位考試新規定及表格,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5145
2025.10.22,教務處,中央大學雙課程榮獲2025開放教育卓越獎 《詩三百》與《太空環境與探測》展現數位教學典範,https://ncuxms.ncu.edu.tw/p/2025award
2025.10.09,課務組,查看個人學期功課表，請至 中央大學入口網站PORTAL→學生服務→教務相關服務→選課系統→個人功能表→選課結果/A4版課表 查詢。,https://pdc.adm.ncu.edu.tw/news_detail.asp?no=5155
