表5-1  105學年度畢業生人數統計,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
學年度,學校代碼,學校名稱,日夜別,等級別,科系代碼,科系名稱,畢業生計,,,本國籍學生,,僑 生,,外國籍學生,
,,,,,,,計,男,女,男,女,男,女,男,女
YEAR,SCODE,SNAME,DNS1,LEVEL,EDU_CODE,BNAME,T,M,F,M1,F1,M2,F2,M3,F3
,8,國立中央大學,,,TOTAL,全校班級,3291,2139,1152,2054,1073,34,15,51,64
,8,國立中央大學,N,,SUBT1,學士班           共計,1389,871,518,847,505,23,13,1,0
,8,國立中央大學,N,,220201,中國文學系,53,10,43,8,43,1,,1,
,8,國立中央大學,N,,220310,英美語文學系,54,8,46,8,45,,1,,
,8,國立中央大學,N,,220314,法國語文學系,53,11,42,10,38,1,4,,
,8,國立中央大學,N,,460101,數學系,63,54,9,54,9,,,,
,8,國立中央大學,N,,440301,物理學系,49,44,5,43,5,1,,,
,8,國立中央大學,N,,440101,化學學系,40,20,20,19,19,1,1,,
,8,國立中央大學,N,,520106,光電科學與工程學系,39,32,7,29,7,3,,,
,8,國立中央大學,N,,449999,理學院學士班,19,13,6,13,6,,,,
,8,國立中央大學,N,,520301,土木工程學系,94,69,25,66,25,3,,,
,8,國立中央大學,N,,520201,機械工程學系,134,122,12,122,12,,,,
,8,國立中央大學,N,,520403,化學工程與材料工程學系,54,37,17,37,17,,,,
,8,國立中央大學,N,,340301,企業管理學系,99,34,65,34,62,,3,,
,8,國立中央大學,N,,480109,資訊管理學系,83,44,39,43,38,1,1,,
,8,國立中央大學,N,,340501,財務金融學系,61,27,34,25,34,2,,,
,8,國立中央大學,N,,310101,經濟學系,61,30,31,27,30,3,1,,
,8,國立中央大學,N,,520101,電機工程學系,98,86,12,86,12,,,,
,8,國立中央大學,N,,520114,資訊工程學系,115,98,17,94,17,4,,,
,8,國立中央大學,N,,520126,通訊工程學系,44,30,14,29,14,1,,,
,8,國立中央大學,N,,440401,大氣科學學系,73,46,27,45,26,1,1,,
,8,國立中央大學,N,,440201,地球科學學系,47,27,20,26,20,1,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系,17,1,16,1,16,,,,
,8,國立中央大學,N,,420103,生命科學系,39,28,11,28,10,,1,,
,8,國立中央大學,N,,SUBT2,碩士班           共計,1342,925,417,877,362,10,1,38,54
,8,國立中央大學,N,,449904,遙測科技碩士學位學程,3,3,0,2,,,,1,
,8,國立中央大學,N,,220201,中國文學系碩士班,11,2,9,2,5,,,,4
,8,國立中央大學,N,,220310,英美語文學系碩士班,5,1,4,1,3,,,,1
,8,國立中央大學,N,,220314,法國語文學系碩士班,3,1,2,1,2,,,,
,8,國立中央大學,N,,221101,哲學研究所碩士班,1,1,0,,,1,,,
,8,國立中央大學,N,,220901,歷史研究所碩士班,13,7,6,7,6,,,,
,8,國立中央大學,N,,210701,藝術學研究所碩士班,12,1,11,1,10,,,,1
,8,國立中央大學,N,,140111,學習與教學研究所碩士班,5,1,4,1,4,,,,
,8,國立中央大學,N,,460101,數學系碩士班,26,16,10,15,6,,,1,4
,8,國立中央大學,N,,440301,物理學系碩士班,42,36,6,32,4,2,,2,2
,8,國立中央大學,N,,440101,化學學系碩士班,58,36,22,35,20,,,1,2
,8,國立中央大學,N,,460201,統計研究所碩士班,21,14,7,13,7,,,1,
,8,國立中央大學,N,,520106,光電科學與工程學系碩士班,65,59,6,56,6,1,,2,
,8,國立中央大學,N,,440601,天文研究所碩士班,8,5,3,5,3,,,,
,8,國立中央大學,N,,440301,物理學系生物物理碩士班,6,5,1,4,,,,1,1
,8,國立中央大學,N,,520106,光電科學與工程學系照明與顯示科技碩士班,12,9,3,9,3,,,,
,8,國立中央大學,N,,520301,土木工程學系碩士班,89,72,17,68,13,,,4,4
,8,國立中央大學,N,,520201,機械工程學系碩士班,90,79,11,77,8,,,2,3
,8,國立中央大學,N,,520403,化學工程與材料工程學系碩士班,62,43,19,43,14,,,,5
,8,國立中央大學,N,,349927,營建管理研究所碩士班,18,13,5,11,2,1,1,1,2
,8,國立中央大學,N,,520901,環境工程研究所碩士班,21,10,11,9,11,,,1,
,8,國立中央大學,N,,520201,機械工程學系光機電工程碩士班,29,22,7,21,7,,,1,
,8,國立中央大學,N,,521309,能源工程研究所碩士班,23,18,5,18,4,,,,1
,8,國立中央大學,N,,520502,材料科學與工程研究所碩士班,23,19,4,18,4,,,1,
,8,國立中央大學,N,,340301,企業管理學系碩士班,64,32,32,28,29,2,,2,3
,8,國立中央大學,N,,480109,資訊管理學系碩士班,51,31,20,31,20,,,,
,8,國立中央大學,N,,310104,產業經濟研究所碩士班,25,11,14,11,14,,,,
,8,國立中央大學,N,,349906,工業管理研究所碩士班,34,22,12,21,9,,,1,3
,8,國立中央大學,N,,349919,人力資源管理研究所碩士班,30,8,22,8,19,,,,3
,8,國立中央大學,N,,340501,財務金融學系碩士班,20,9,11,9,9,,,,2
,8,國立中央大學,N,,310101,經濟學系碩士班,14,8,6,8,6,,,,
,8,國立中央大學,N,,340201,會計研究所碩士班,18,7,11,7,11,,,,
,8,國立中央大學,N,,520101,電機工程學系碩士班,113,96,17,95,15,,,1,2
,8,國立中央大學,N,,520114,資訊工程學系碩士班,109,85,24,74,22,2,,9,2
,8,國立中央大學,N,,520126,通訊工程學系碩士班,47,36,11,35,10,,,1,1
,8,國立中央大學,N,,140805,網路學習科技研究所碩士班,18,9,9,8,8,,,1,1
,8,國立中央大學,N,,520114,資訊工程學系軟體工程碩士班,7,4,3,4,3,,,,
,8,國立中央大學,N,,440401,大氣科學學系大氣物理碩士班,33,23,10,21,9,1,,1,1
,8,國立中央大學,N,,440201,地球科學學系地球物理碩士班,20,15,5,15,4,,,,1
,8,國立中央大學,N,,440603,太空科學研究所碩士班,8,6,2,6,2,,,,
,8,國立中央大學,N,,440204,應用地質研究所碩士班,14,12,2,11,2,,,1,
,8,國立中央大學,N,,440207,水文與海洋科學研究所碩士班,8,6,2,6,1,,,,1
,8,國立中央大學,N,,380103,法律與政府研究所碩士班,6,1,5,1,5,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家社會文化碩士班,7,2,5,2,5,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家語文碩士班,5,1,4,1,4,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家政治經濟碩士班,6,3,3,3,3,,,,
,8,國立中央大學,N,,420103,生命科學系碩士班,19,12,7,12,3,,,,4
,8,國立中央大學,N,,310510,認知神經科學研究所碩士班,4,1,3,,3,,,1,
,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊碩士班,6,5,1,5,1,,,,
,8,國立中央大學,N,,521108,生醫科學與工程學系生物醫學工程碩士班,10,7,3,6,3,,,1,
,8,國立中央大學,N,,SUBT3,碩士在職專班           共計,417,242,175,240,171,,,2,4
,8,國立中央大學,N,,220201,中國文學系碩士在職專班,6,0,6,,6,,,,
,8,國立中央大學,N,,221101,哲學研究所碩士在職專班,6,3,3,3,3,,,,
,8,國立中央大學,N,,220901,歷史研究所碩士在職專班,11,6,5,6,5,,,,
,8,國立中央大學,N,,520106,光電科學與工程學系碩士在職專班,10,9,1,9,1,,,,
,8,國立中央大學,N,,520301,土木工程學系碩士在職專班,24,19,5,19,5,,,,
,8,國立中央大學,N,,520201,機械工程學系碩士在職專班,14,14,0,14,,,,,
,8,國立中央大學,N,,349927,營建管理研究所碩士在職專班,21,14,7,14,7,,,,
,8,國立中央大學,N,,520901,環境工程研究所碩士在職專班,19,14,5,14,5,,,,
,8,國立中央大學,N,,520911,國際永續發展碩士在職專班,6,2,4,,,,,2,4
,8,國立中央大學,N,,349939,管理學院高階主管企管碩士班,91,65,26,65,26,,,,
,8,國立中央大學,N,,340301,企業管理學系碩士在職專班,17,5,12,5,12,,,,
,8,國立中央大學,N,,480109,資訊管理學系碩士在職專班,27,21,6,21,6,,,,
,8,國立中央大學,N,,310104,產業經濟研究所碩士在職專班,26,8,18,8,18,,,,
,8,國立中央大學,N,,349906,工業管理研究所碩士在職專班,23,12,11,12,11,,,,
,8,國立中央大學,N,,349919,人力資源管理研究所碩士在職專班,27,9,18,9,18,,,,
,8,國立中央大學,N,,340501,財務金融學系碩士在職專班,27,8,19,8,19,,,,
,8,國立中央大學,N,,340201,會計研究所企業資源規劃會計碩士在職專班,13,6,7,6,7,,,,
,8,國立中央大學,N,,520101,電機工程學系碩士在職專班,3,3,0,3,,,,,
,8,國立中央大學,N,,520114,資訊工程學系碩士在職專班,21,18,3,18,3,,,,
,8,國立中央大學,N,,520126,通訊工程學系碩士在職專班,6,5,1,5,1,,,,
,8,國立中央大學,N,,140805,網路學習科技研究所碩士在職專班,1,0,1,,1,,,,
,8,國立中央大學,N,,311025,客家語文暨社會科學學系客家研究碩士在職專班,18,1,17,1,17,,,,
,8,國立中央大學,N,,SUBT4,博士班           共計,137,99,38,88,31,1,1,10,6
,8,國立中央大學,N,,220201,中國文學系博士班,6,1,5,1,4,,1,,
,8,國立中央大學,N,,221101,哲學研究所博士班,6,4,2,2,2,1,,1,
,8,國立中央大學,N,,140111,學習與教學研究所博士班,2,0,2,,2,,,,
,8,國立中央大學,N,,460101,數學系博士班,4,4,0,4,,,,,
,8,國立中央大學,N,,440301,物理學系博士班,6,5,1,3,1,,,2,
,8,國立中央大學,N,,440101,化學學系博士班,5,4,1,2,1,,,2,
,8,國立中央大學,N,,460201,統計研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,520106,光電科學與工程學系博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,440601,天文研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,520301,土木工程學系博士班,4,4,0,4,,,,,
,8,國立中央大學,N,,520201,機械工程學系博士班,4,4,0,4,,,,,
,8,國立中央大學,N,,520403,化學工程與材料工程學系博士班,10,7,3,7,2,,,,1
,8,國立中央大學,N,,349927,營建管理研究所博士班,1,1,0,1,,,,,
,8,國立中央大學,N,,520901,環境工程研究所博士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,520502,材料科學與工程研究所博士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,340301,企業管理學系博士班,18,13,5,13,4,,,,1
,8,國立中央大學,N,,480109,資訊管理學系博士班,2,2,0,2,,,,,
,8,國立中央大學,N,,310104,產業經濟研究所博士班,2,0,2,,2,,,,
,8,國立中央大學,N,,340501,財務金融學系博士班,4,1,3,1,3,,,,
,8,國立中央大學,N,,310101,經濟學系博士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,520101,電機工程學系博士班,4,4,0,4,,,,,
,8,國立中央大學,N,,520114,資訊工程學系博士班,13,12,1,10,,,,2,1
,8,國立中央大學,N,,520126,通訊工程學系博士班,3,2,1,2,1,,,,
,8,國立中央大學,N,,440401,大氣科學學系大氣物理博士班,3,3,0,3,,,,,
,8,國立中央大學,N,,440201,地球科學學系地球物理博士班,2,1,1,1,1,,,,
,8,國立中央大學,N,,440603,太空科學研究所博士班,7,6,1,6,,,,,1
,8,國立中央大學,N,,440204,應用地質研究所博士班,4,2,2,2,2,,,,
,8,國立中央大學,N,,440207,水文與海洋科學研究所博士班,3,2,1,1,,,,1,1
,8,國立中央大學,N,,440213,地球系統科學國際研究生博士學位學程,2,1,1,,,,,1,1
,8,國立中央大學,N,,420103,生命科學系博士班,5,4,1,3,1,,,1,
,8,國立中央大學,N,,420604,生醫科學與工程學系系統生物與生物資訊博士班,4,2,2,2,2,,,,
,8,國立中央大學,N,,SUBT5,產業研發碩士專班           共計,6,2,4,2,4,,,,
,8,國立中央大學,N,,520188,光電科學與工程學系光電產業碩士專班,6,2,4,2,4,,,,
