1132「輔系(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
"              輔系
 所屬系所",中文,英文,法文,文院學士班,數學,物理,化學,光電,理院學士班,土木,機械,化材,工院學士班,企管,資管,財金,經濟,電機,資工,通訊,資電學士班,大科,地科,地科學士班,太空,客社,生科,生醫,系(所)總合
中國文學系,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,3
英美語文學系,,,,,,,,,,,,,,1,1,1,10,,,,,,,,,1,,2,16
法國語文學系,,,,,,,,,,,,,,2,1,,19,,,,,,,,,,1,,23
文學院學士班,1,1,3,,,,,,,,,,,,,2,1,,,,,,,,,,,1,9
數學系,,,,,,1,,,,,,,,,,1,1,1,3,,,,,,,,,,7
物理學系,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,5
化學學系,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
光電科學與工程學系,,,,,,3,,,,,2,,,,,,,8,1,,,,1,,,,,,15
理學院學士班,,,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,4
土木工程學系,,,,,,,,2,,,,1,,,,,,1,,,,,1,,,,,,5
機械工程學系,,,,,,,,,,,,2,,,,,1,2,,1,,,1,,,,,1,8
化學工程與材料工程學系,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
工學院學士班,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2
企業管理學系,,,1,,,,,,,,1,,,,4,11,2,,,,,,,,,,,,19
資訊管理學系,1,,,,,,,,,1,,,,,,4,,,6,,,,,,,,,,12
財務金融學系,,,,,3,,,,,,,,,,4,1,1,,,,,,,,,2,,,11
經濟學系,1,,,,3,,,1,,1,,,,,1,18,1,,,1,,,,,,,,1,28
電機工程學系,,,,,,1,,,,,,,,,,,1,,5,,,,,,,,,,7
資訊工程學系,,,,,,,,,,,,,,,1,,1,1,,,,,,,1,,1,,5
通訊工程學系,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
資訊電機學院學士班,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
大氣科學學系,,,,,,1,1,,,,,1,,,,1,,,,,,,2,,1,,1,,8
地球科學學系,,,,,1,,,,,3,1,,,,,,2,1,1,1,,,,,1,,2,,13
地球科學學院學士班,,,,,,,,1,,,2,,,,,,,,,3,,,,,,,,,6
太空科學與工程學系,,,,,,1,,,,,3,1,,,,,3,3,,9,,,1,,,,1,,22
客家語文暨社會科學學系,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,4
生命科學系,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,3,6
生醫科學與工程學系,,,,,,,,1,,,,1,,,,,,,2,,,,1,,,,,,5
總合,4,1,4,,7,8,3,5,,5,10,12,,3,12,39,48,23,20,15,,,7,,3,4,7,8,248
