1022「雙主修(在學)」修習人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
             雙主修           主系,中文,英文,法文,數學,物理,化學,生科,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,客社,系(所)總合
中國文學系,,8,3,,,,,,,,,,,,1,4,1,,,,,,17
英美語文學系,1,,3,,,,,,,,,,,1,3,1,,,,,,,9
法國語文學系,,,,,,,,,,,,,2,,1,1,,,,,,,4
數學系,,,,,1,,,,,,,1,,,,,,14,,,,,16
物理學系,,,,,1,,,,,,,,,,,,3,,,,1,,5
化學學系,,,,,,,,,,,,,,,,,,1,,,,,1
機械工程學系,,,,,,,,,,,,,,,,,1,2,,,,,3
企業管理學系,1,1,1,,,,,,,,,,,,21,,,,,,,,24
資訊管理學系,,,,,,,,,,,,,,,7,,,3,,,,,10
財務金融學系,,1,,,,,,,,,,1,,2,1,1,,2,,,,,8
經濟學系,,,,,,,1,,,,,,,1,2,,,,,,,,4
電機工程學系,,,,,,,,,,,,,,,,,,1,,,1,,2
資訊工程學系,,,,,1,,,,,,,,,2,,,2,,,,,,5
通訊工程學系,,,,,,,,1,,,,,1,1,,,,,,,,,3
大氣科學學系,,,,,,,,1,,,,,,,,,1,,1,1,,,4
地球科學學系,,,,,,,,,,,,,,,1,,,,1,2,,,4
總合,2,10,7,,3,,1,2,,,,2,3,7,37,7,8,23,2,3,2,,119
