101學年度第二學期「雙主修」取得人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
"         取得雙主修別                                                  
                                           所屬系別",中文,英文,法文,數學,物理,化學,生科,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,客社,系(所)總合
中國文學系,,2,,,,,,,,,,,,,1,,,,,,,,3
英美語文學系,,,,,,,,,,,,,,1,,,,,,,,,1
法國語文學系,,,,,,,,,,,,,,,2,2,,,,,,,4
數學系,,,,,,,,,,,,,,,,,,1,,,,,1
生命科學系,,,,,,,,,,,1,,,,,,,,,,,,1
光電科學與工程學系,,,,,,,,,,,,,,,,1,,,,,,,1
企業管理學系,,,,1,,,,,,,,,,,5,1,,,,,,,7
通訊工程學系,,,,,,,,,,,,,,,,,,1,,,,,1
地球科學學系,,,,,,,,,,,,,,,1,,,,,,,,1
總合,,2,,1,,,,,,,1,,,1,9,4,,2,,,,,20
