106學年度第二學期「雙主修」申請人數統計表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"          申請雙主修別
所屬系所",中文,英文,法文,數學,物理,化學,光電,理院學士班,土木,機械,化材,企管,資管,財金,經濟,電機,資工,通訊,大科,地科,客社,生科,生醫,系(所)總合
中國文學系,,,,,,,,,,,,,,,1,,,,,,,,,1
法國語文學系,,,,,,,,,,,,,,1,,,,,,,,,,1
土木工程學系,,,,,,,,,,,,,,,,,,,,,,,1,1
機械工程學系,,,,,,,1,,,,,,,,,,,,,,,,,1
企業管理學系,,,,,,,,,,,,,,1,,,,,,,,,,1
資訊管理學系,,,,,,,,,,,,,,,,,2,,,,,,,2
經濟學系,,,,,,,,,,,,,1,,,,,,,,1,,,2
客家語文暨社會科學學系,,,,,,,,,,,,,,,1,,,,,,,,,1
總合,,,,,,,1,,,,,,1,2,2,,2,,,,1,,1,10
